V,heuristica,tempo_medio_ms,tempo_dp_ms,cores_media,cores_dp,arestas_media,densidade_media,instancias
50,Sequencial,0.001754,0.000342,13.5000,0.8498,641.5,0.5237,10
50,Welsh-Powell,0.005400,0.000433,12.3000,0.6749,641.5,0.5237,10
50,DSATUR,0.011829,0.000347,11.3000,0.6749,641.5,0.5237,10
100,Sequencial,0.004071,0.000268,21.9000,0.8756,2534.3,0.5120,10
100,Welsh-Powell,0.017463,0.001227,20.0000,0.6667,2534.3,0.5120,10
100,DSATUR,0.038237,0.003451,18.7000,0.8233,2534.3,0.5120,10
200,Sequencial,0.012154,0.000629,36.0000,1.1547,10067.9,0.5059,10
200,Welsh-Powell,0.072625,0.004809,34.0000,0.6667,10067.9,0.5059,10
200,DSATUR,0.120983,0.006365,30.8000,0.7888,10067.9,0.5059,10
500,Sequencial,0.065333,0.002475,71.9000,0.9944,62514.1,0.5011,10
500,Welsh-Powell,0.593558,0.030434,69.8000,1.3984,62514.1,0.5011,10
500,DSATUR,0.634934,0.020543,65.1000,1.1005,62514.1,0.5011,10
1000,Sequencial,0.248096,0.023110,126.3000,1.5670,250182.7,0.5009,10
1000,Welsh-Powell,3.329071,0.748773,123.4000,1.2649,250182.7,0.5009,10
1000,DSATUR,2.534408,0.471247,115.6000,1.6465,250182.7,0.5009,10
